"STATION","NAME","DATE","TAVG","TMAX","TMIN","TOBS"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2016-07-11","87","99","78",
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2016-07-12","85","99","76",
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2016-07-13","88","100","78",
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2016-07-14","87","99","77",
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2016-07-15","87","100","77",
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2016-07-16","86","98","74",
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2016-07-17","85","98","71",
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2016-07-18","86","98","71",
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2016-07-19","86","98","74",
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2016-07-20","85","99","73",
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2016-07-21","86","100","71",
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2016-07-22","87","100","72",
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2016-07-23","87","100","74",
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2016-07-24","88","100","77",
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2016-07-25","89","100","76",
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2016-07-26","80","91","74",
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2016-07-27","79","92","71",
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2016-07-28","80","95","73",
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2016-07-29","81","95","74",
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2016-07-30","84","95","73",
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2016-07-31","85","96","76",
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2016-08-01","85","97","73",
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2016-08-02","84","96","69",
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2016-08-03","85","97","73",
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2016-08-04","85","97","71",
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2016-08-05","85","97","71",
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2016-08-06","86","97","74",
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2016-08-07","86","98","76",
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2016-08-08","87","98","74",
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2016-08-09","87","98","76",
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2016-08-10","88","99","79",
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2016-08-11","88","100","77",
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2016-08-12","88","102","77",
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2016-08-13","84","93","76",
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2016-08-14","78","86","72",
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2016-08-15","74","78","70",
